gene name	test_pipeline	first_sample
XK	0	0
ANO2	0	0
C12orf4	0	27
SCML1	0	0
WWC3	0	0
ARHGAP6	0	0
FAM184B	0	0
MAP4	219	65
GOPC	77	28
ROS1	0	0
USP28	0	0
HDAC9	0	0
TSPAN17	0	1
NOP16	287	204
CC2D2A	0	0
RRM2B	0	0
ZNF800	19	8
TNFRSF17	0	0
SNX29	52	0
LMO3	0	0
MRPS10	75	73
GUCA1A	0	0
RSF1	63	46
VPS13D	0	17
CELF2	0	0
FAM120A	0	10
R3HDM1	0	24
COL9A2	0	5
KITLG	0	0
ERCC8	1	14
ADAMTS6	0	0
H6PD	50	20
VAMP3	117	156
PER3	0	0
UTS2	0	0
TNFRSF9	0	0
EPN3	0	0
LTBP1	0	0
RCN1	0	0
ELN	0	0
RFC2	160	177
ARID1B	4	34
CLPTM1L	50	39
NEDD4L	5	26
FOXP3	0	0
PPP1R3F	0	0
HEXB	169	248
PTCD2	0	53
KIAA2022	0	0
JKAMP	1	167
DKK3	0	0
ARHGEF5	0	0
NFE2L3	53	5
MCUR1	115	55
LIMA1	81	46
LETMD1	0	8
SLC4A8	0	0
LAMC3	1	0
PTGER3	0	0
TNIP3	0	0
MAPK9	0	53
COL23A1	0	0
BCAR1	49	123
FAM160A2	2	0
HERPUD1	118	33
HOMER3	32	0
RAD51	0	91
POLQ	0	2
PIK3CB	23	27
CYBA	709	508
THOC3	91	70
HEBP2	48	257
MPHOSPH9	0	14
PLEKHA5	0	53
PRSS8	0	0
SIKE1	34	56
RRP12	3	4
FNIP2	32	0
MSMO1	751	116
TTC17	0	36
ALX4	0	0
FSTL4	0	0
FOXN3	0	4
METTL24	0	0
AKR7A2	275	264
MRTO4	80	211
NNAT	0	0
USE1	56	0
MCF2L2	0	0
NRIP2	0	0
LAMA3	0	0
AP5M1	19	4
ANAPC4	32	9
KCNQ1	0	0
TRAPPC3	186	152
THRAP3	255	537
PHPT1	1090	505
ENTPD2	0	0
LY75	4	0
ARID4B	78	222
OPN3	19	35
SDCCAG8	0	15
PTPRN	0	0
HHAT	0	0
KIF1B	0	42
FOXC1	0	0
TBC1D22A	51	86
SYNE2	0	10
PLEKHH1	0	0
ATP9A	1	8
SPO11	0	0
CBLN4	0	0
CHRDL2	1	0
FAM168A	0	2
RELT	0	8
GALC	0	0
NOP58	230	133
SZRD1	100	39
KCNH2	0	0
CUL1	14	76
FAM114A2	15	0
CYFIP2	0	0
TAB2	11	1
GINM1	57	22
EIF2AK2	3	15
USP36	0	24
KMT2C	2	86
MCOLN3	0	0
CCDC85A	0	0
PUM2	15	8
MRPL43	159	218
ITIH4	0	0
ITIH1	0	0
HPF1	53	29
ZFR	105	125
ZNF280C	6	0
NPFFR2	0	0
PHF21B	0	0
TRAF1	0	0
RC3H2	0	3
IL17RB	121	125
TRAF3IP2	0	0
GYG2	2	5
DCBLD2	95	3
SERPINB3	0	0
SOAT1	47	41
PKP2	0	10
MSH4	0	0
F7	31	18
GDI2	170	159
PRDM1	0	0
ATG5	89	81
TMCC3	0	1
PITHD1	24	35
MTA3	0	0
USP13	0	14
ATP11B	0	0
LAMC2	0	0
CDK14	0	7
SEC61A1	170	149
PPP1R12A	45	68
RASGRF1	0	0
CAMK2B	0	0
CROCC	0	0
POLR3E	85	38
ATP2B4	0	0
ZC3H11A	17	16
RIOK2	74	17
YIPF1	0	79
NDC1	0	2
DGKG	0	0
FLYWCH1	15	0
UNKL	0	45
TBXAS1	0	0
PARP12	0	0
ALDH18A1	62	85
TARBP1	0	24
GATB	76	1
MXD1	0	3
CDK17	0	0
DNAJC25	0	25
SLC2A3	0	0
PSD	0	0
CTDP1	0	0
YBX3	89	191
STYK1	0	0
WNK1	38	47
RPS17P5	0	0
CCAR1	81	58
OGFR	0	8
GNA15	0	0
CREB3L3	5	27
PIGV	0	5
PTPRU	0	0
SNRNP40	252	311
RIMBP2	0	0
COL11A1	0	0
QSER1	0	0
MPC1	124	189
ACAA1	405	292
BCAT1	183	68
HDAC7	31	0
LZTS1	0	0
PRDM6	0	0
WNT8A	0	0
SPAG4	0	0
NCKAP1	16	25
MRPS35	391	344
GUCY1B3	67	0
SFSWAP	0	62
TNK2	0	0
MON2	8	47
CDH3	0	0
ARSF	0	0
GPBP1	0	139
DGAT2	142	5
ZNF112	0	4
CS	142	87
LTK	0	0
MRPS24	7	59
ELMO2	53	10
WAPL	1	11
VMP1	76	229
APPBP2	68	23
POLD1	2	8
SEZ6	0	0
EIF4B	108	113
SLC6A16	1	0
GLTSCR1	1	0
SPHK2	38	1
RPL18	2376	2592
CA11	0	0
ISOC2	162	297
U2AF2	0	13
EPN1	0	3
MED29	11	10
AHRR	0	0
GSC2	0	0
ZNF275	0	6
MTMR1	0	0
GPC1	0	0
ADCK1	48	0
HAGH	172	84
RNF4	7	21
CASP8	1	0
LIMCH1	0	0
